Distance (um),ChJup,frame,normalized RFP,Distance (um),BC RFP,frame,normalized BC
0,185.188,15,0.380208184,0,,,0
0.18335,189.024,15,0.388083848,0,,,0
0.3667,213.773,15,0.438895847,0,,,0
0.55005,239.043,15,0.490777506,0,,,0
0.7334,252.791,15,0.519003429,0,,,0
0.91675,266.34,15,0.546820786,0,,,0
1.1001,283.34,15,0.581723366,0,,,0
1.28345,317.535,15,0.651928881,0,,,0
1.4668,347.181,15,0.712794875,0,,,0
1.65015,370.659,15,0.760997393,0,,,0
1.8335,391.09,15,0.802944135,0,,,0
2.01685,373.125,15,0.76606032,0,,,0
2.2002,381.72,15,0.783706654,0,,,0
2.38355,386.83,15,0.794197959,0,,,0
2.5669,411.356,15,0.844552118,0,,,0
2.75025,438.044,15,0.899345063,0,,,0
2.9336,448.609,15,0.921035991,0,,,0
3.11695,458.811,15,0.941981645,0,,,0
3.3003,467.678,15,0.960186421,0,,,0
3.48365,405.173,15,0.831857844,0,,,0
3.667,420.715,15,0.863767015,0,,,0
3.85035,385.734,15,0.791947769,0,,,0
4.0337,358.958,15,0.736974152,0,,,0
4.21705,332.258,15,0.682156569,0,,,0
4.4004,321.105,15,0.659258423,0,,,0
4.58375,330.857,15,0.679280186,0,,,0
4.7671,320.717,15,0.658461823,0,,,0
4.95045,329.638,15,0.676777465,0,,,0
5.1338,344.002,15,0.706268093,0,,,0
5.31715,330.072,15,0.677668508,0,,,0
5.5005,312.376,15,0.641336974,0,,,0
5.68385,284.288,15,0.583669698,0,,,0
5.8672,252.011,15,0.517402016,0,,,0
6.05055,232.75,15,0.477857392,0,,,0
0,222.25,22,0.456299916,0,184.125,22,0.446498939
0.18335,230.083,22,0.472381793,0.18337,184.105,22,0.44645044
0.3667,229.545,22,0.471277229,0.36673,192.079,22,0.465787208
0.55005,224.27,22,0.460447164,0.5501,196.658,22,0.476891179
0.7334,218.523,22,0.448648038,0.73346,187.178,22,0.453902395
0.91675,217.263,22,0.446061141,0.91683,186.658,22,0.452641406
1.1001,227.711,22,0.467511857,1.1002,198.711,22,0.481869657
1.28345,238.623,22,0.489915207,1.28356,198.237,22,0.480720218
1.4668,263.129,22,0.540228304,1.46693,201.73,22,0.489190664
1.65015,286.253,22,0.587704026,1.6503,203.974,22,0.494632313
1.8335,293.521,22,0.602625906,1.83366,215.362,22,0.522247954
2.01685,310.958,22,0.638425688,2.01703,236.197,22,0.572772355
2.2002,376.295,22,0.772568625,2.20039,260.855,22,0.632567445
2.38355,407.646,22,0.836935143,2.38376,288.474,22,0.699542892
2.5669,408.733,22,0.839166855,2.56713,314.842,22,0.763484692
2.75025,420.619,22,0.863569918,2.75049,337,22,0.817217339
2.9336,437.171,22,0.897552713,2.93386,371.526,22,0.900942104
3.11695,437.918,22,0.899086374,3.11723,410.5,22,0.995453168
3.3003,433.928,22,0.890894533,3.30059,412.375,22,1
3.48365,415.64,22,0.853347568,3.48396,400.25,22,0.970597151
3.667,397.041,22,0.815162092,3.66732,394.263,22,0.956078812
3.85035,370.606,22,0.760888579,3.85069,394.184,22,0.955887239
4.0337,361.167,22,0.741509434,4.03406,372.211,22,0.902603213
4.21705,338.288,22,0.69453672,4.21742,335.711,22,0.814091543
4.4004,335.909,22,0.689652411,4.40079,307.882,22,0.746606851
4.58375,337.237,22,0.692378919,4.58416,288.316,22,0.699159745
4.7671,323.459,22,0.664091404,4.76752,266.184,22,0.645490149
4.95045,325.541,22,0.668365943,4.95089,244.25,22,0.592300697
5.1338,334.141,22,0.686022543,5.13425,224.355,22,0.544055774
5.31715,372.147,22,0.764052395,5.31762,207.868,22,0.504075174
5.5005,331.746,22,0.681105385,5.50099,206.566,22,0.500917854
5.68385,316.721,22,0.650257663,5.68435,189.855,22,0.460394059
5.8672,307.612,22,0.631556039,5.86772,189.039,22,0.458415277
6.05055,296.125,22,0.60797216,6.05108,190.684,22,0.462404365
0,222.062,34,0.455913934,6.23445,189.763,22,0.460170961
0.18335,220.47,34,0.45264541,6.41782,188.632,22,0.457428312
0.3667,217.501,34,0.446549777,6.60118,187.125,22,0.453773871
0.55005,213.509,34,0.43835383,6.78455,197.658,22,0.479316156
0.7334,217.973,34,0.447518837,6.96792,202.5,22,0.491057896
0.91675,205.335,34,0.421571848,0,151.125,34,0.366474689
1.1001,220.479,34,0.452663888,0.18337,146.974,34,0.356408609
1.28345,231.905,34,0.476122529,0.36673,142.013,34,0.344378296
1.4668,262.392,34,0.538715174,0.5501,147.789,34,0.358384965
1.65015,291.637,34,0.598757879,0.73346,155.118,34,0.376157624
1.8335,363.683,34,0.746675016,0.91683,153.184,34,0.371467717
2.01685,372.146,34,0.764050342,1.1002,152.553,34,0.369937557
2.2002,389.437,34,0.799550373,1.28356,157.342,34,0.381550773
2.38355,417.363,34,0.856885047,1.46693,172.658,34,0.418691725
2.5669,487.07,34,1,1.6503,176.289,34,0.427496817
2.75025,472.634,34,0.97036155,1.83366,179.507,34,0.435300394
2.9336,485.834,34,0.997462377,2.01703,198.434,34,0.481197939
3.11695,463.432,34,0.951468988,2.20039,218.309,34,0.529394362
3.3003,445.244,34,0.914127333,2.38376,227.737,34,0.552257048
3.48365,418.663,34,0.859554068,2.56713,239.724,34,0.58132525
3.667,379.484,34,0.779115938,2.75049,264.934,34,0.642458927
3.85035,351.062,34,0.720762929,2.93386,301.796,34,0.731848439
4.0337,319,34,0.654936662,3.11723,322.132,34,0.781162777
4.21705,293.374,34,0.602324101,3.30059,318.691,34,0.77281843
4.4004,269.971,34,0.554275566,3.48396,311.5,34,0.755380418
4.58375,252.934,34,0.519297021,3.66732,296.954,34,0.720106699
4.7671,240.491,34,0.493750385,3.85069,278.447,34,0.675227645
4.95045,226.414,34,0.464848995,4.03406,271.684,34,0.658827523
5.1338,218.399,34,0.448393455,4.21742,249.921,34,0.606052743
5.31715,232.922,34,0.478210524,4.40079,219.388,34,0.532010912
5.5005,233.453,34,0.479300717,4.58416,204.447,34,0.495779327
5.68385,229.966,34,0.472141581,4.76752,195.836,34,0.474897848
5.8672,217.445,34,0.446434804,4.95089,186.158,34,0.451428918
6.05055,216.688,34,0.444880613,5.13425,178.105,34,0.431900576
0,194.25,38,0.398813312,5.31762,173.211,34,0.420032737
0.18335,179.448,38,0.36842343,5.50099,172.362,34,0.417973931
0.3667,200.952,38,0.412573141,5.68435,164.526,34,0.39897181
0.55005,202.369,38,0.415482374,5.86772,150.309,34,0.364495908
0.7334,215.052,38,0.441521753,6.05108,150.316,34,0.364512883
0.91675,236.448,38,0.48544973,6.23445,144.303,34,0.349931494
1.1001,246.926,38,0.506962038,6.41782,139.447,34,0.338155805
1.28345,274.103,38,0.562758946,6.60118,133.664,34,0.324132161
1.4668,278.107,38,0.570979531,6.78455,128.974,34,0.312759018
1.65015,285.684,38,0.586535816,6.96792,131.375,34,0.318581388
1.8335,324.432,38,0.666089063,0,,,0
2.01685,347.042,38,0.712509496,0,,,0
2.2002,393.63,38,0.808158992,0,,,0
2.38355,433.324,38,0.889654464,0,,,0
2.5669,475.636,38,0.976524935,0,,,0
2.75025,450.963,38,0.925868972,0,,,0
2.9336,472.846,38,0.970796805,0,,,0
3.11695,454.296,38,0.932711931,0,,,0
3.3003,448.638,38,0.92109553,0,,,0
3.48365,472.527,38,0.970141869,0,,,0
3.667,445.821,38,0.915311967,0,,,0
3.85035,408.472,38,0.838630998,0,,,0
4.0337,403.25,38,0.827909746,0,,,0
4.21705,380.291,38,0.780772784,0,,,0
4.4004,320.769,38,0.658568584,0,,,0
4.58375,301.421,38,0.618845341,0,,,0
4.7671,290.406,38,0.596230521,0,,,0
4.95045,258.728,38,0.531192642,0,,,0
5.1338,239.32,38,0.491346213,0,,,0
5.31715,235.918,38,0.484361591,0,,,0
5.5005,224.977,38,0.4618987,0,,,0
5.68385,210.167,38,0.431492393,0,,,0
5.8672,228.023,38,0.468152422,0,,,0
6.05055,212,38,0.435255713,0,,,0
0,185.312,43,0.380462767,0,,,0
0.18335,187.893,43,0.3857618,0,,,0
0.3667,185.668,43,0.381193668,0,,,0
0.55005,188.466,43,0.386938222,0,,,0
0.7334,193.161,43,0.396577494,0,,,0
0.91675,191.061,43,0.392265999,0,,,0
1.1001,200.133,43,0.410891658,0,,,0
1.28345,231.603,43,0.475502495,0,,,0
1.4668,233.056,43,0.478485639,0,,,0
1.65015,242.965,43,0.498829737,0,,,0
1.8335,258.407,43,0.530533599,0,,,0
2.01685,281.521,43,0.57798879,0,,,0
2.2002,309.219,43,0.63485536,0,,,0
2.38355,353.586,43,0.725944936,0,,,0
2.5669,352.636,43,0.723994498,0,,,0
2.75025,368.884,43,0.757353153,0,,,0
2.9336,368.081,43,0.755704519,0,,,0
3.11695,383.899,43,0.788180344,0,,,0
3.3003,387.635,43,0.795850699,0,,,0
3.48365,389.56,43,0.799802903,0,,,0
3.667,365.019,43,0.749417948,0,,,0
3.85035,318.531,43,0.653973761,0,,,0
4.0337,303.729,43,0.623583879,0,,,0
4.21705,261.374,43,0.536625126,0,,,0
4.4004,231.355,43,0.474993327,0,,,0
4.58375,216.594,43,0.444687622,0,,,0
4.7671,206.725,43,0.424425647,0,,,0
4.95045,204.773,43,0.42041801,0,,,0
5.1338,198.006,43,0.40652473,0,,,0
5.31715,186.836,43,0.383591681,0,,,0
5.5005,183.436,43,0.376611165,0,,,0
5.68385,186.502,43,0.382905948,0,,,0
5.8672,185.023,43,0.379869423,0,,,0
6.05055,176.25,43,0.361857639,0,,,0